OS,Program,Dataset,Run,Time Taken (ms)
Linux,Simple Node,medium,2,60.799
Linux,Simple Node,medium,3,52.915
Linux,Simple Node,medium,4,64.216
Linux,Simple Node,medium,5,48.849
Linux,Simple C,medium,1,32.831
Linux,Simple C,medium,2,38.483
Linux,Simple C,medium,3,29.735
Linux,Simple C,medium,4,31.253
Linux,Simple C,medium,5,39.93
Linux,Simple Node,large,1,117.539
Linux,Simple Node,large,2,130.203
Linux,Simple Node,large,3,107.45
Linux,Simple Node,large,4,119.32
Linux,Simple Node,large,5,128.503
Linux,Simple C,large,1,131.759
Linux,Simple C,large,2,103.626
Linux,Simple C,large,3,102.316
Linux,Simple C,large,4,105.919
Linux,Simple C,large,5,105.781
Linux,Simple Node,xlarge,1,318.267
Linux,Simple Node,xlarge,2,291.836
Linux,Simple Node,xlarge,3,363.004
Linux,Simple Node,xlarge,4,311.934
Linux,Simple Node,xlarge,5,331.373
Linux,Simple C,xlarge,1,363.222
Linux,Simple C,xlarge,2,330.895
Linux,Simple C,xlarge,3,330.069
Linux,Simple C,xlarge,4,295.434
Linux,Simple C,xlarge,5,339.271
Linux,Async Node,tiny,1,7.048
Linux,Async Node,tiny,2,7.392
Linux,Async Node,tiny,3,7.01
Linux,Async Node,tiny,4,7.425
Linux,Async Node,tiny,5,7.814
Linux,Async Node,small,1,18.941
Linux,Async Node,small,2,18.941
Linux,Async Node,small,3,20.253
Linux,Async Node,small,4,19.231
Linux,Async Node,small,5,20.378
Linux,Async Node,medium,1,33.329
Linux,Async Node,medium,2,32.894
Linux,Async Node,medium,3,36.19
Linux,Async Node,medium,4,34.369
Linux,Async Node,medium,5,33.389
Linux,Async Node,large,1,86.159
Linux,Async Node,large,2,97.643
Linux,Async Node,large,3,91.815
Linux,Async Node,large,4,91.55
Linux,Async Node,large,5,77.223
Linux,Async Node,xlarge,1,273.359
Linux,Async Node,xlarge,2,255.981
Linux,Async Node,xlarge,3,263.107
Linux,Async Node,xlarge,4,278.717
Linux,Async Node,xlarge,5,242.07
Linux,Async C,tiny,1,5.016
Linux,Async C,tiny,2,4.126
Linux,Async C,tiny,3,4.56
Linux,Async C,tiny,4,4.668
Linux,Async C,tiny,5,3.911
Linux,Async C,small,1,19.38
Linux,Async C,small,2,19.561
Linux,Async C,small,3,20.93
Linux,Async C,small,4,18.665
Linux,Async C,small,5,18.616
Linux,Async C,medium,1,42.922
Linux,Async C,medium,2,42.914
Linux,Async C,medium,3,44.097
Linux,Async C,medium,4,48.472
Linux,Async C,medium,5,43.144
Linux,Async C,large,1,133.798
Linux,Async C,large,2,143.128
Linux,Async C,large,3,135.007
Linux,Async C,large,4,129.305
Linux,Async C,large,5,126.947
Linux,Async C,xlarge,1,350.823
Linux,Async C,xlarge,2,341.059
Linux,Async C,xlarge,3,364.281
Linux,Async C,xlarge,4,355.177
Linux,Async C,xlarge,5,366.995
Linux,Event C,tiny,1,2.957
Linux,Event C,tiny,2,2.603
Linux,Event C,tiny,3,2.657
Linux,Event C,tiny,4,2.802
Linux,Event C,tiny,5,2.423
Linux,Event C,small,1,10.458
Linux,Event C,small,2,9.449
Linux,Event C,small,3,11.577
Linux,Event C,small,4,9.981
Linux,Event C,small,5,10.375
Linux,Event C,medium,1,19.795
Linux,Event C,medium,2,19.009
Linux,Event C,medium,3,19.736
Linux,Event C,medium,4,18.326
Linux,Event C,medium,5,16.258
Linux,Event C,large,1,57.136
Linux,Event C,large,2,49.635
Linux,Event C,large,3,55.815
Linux,Event C,large,4,57.047
Linux,Event C,large,5,59.134
Linux,Event C,xlarge,1,180.226
Linux,Event C,xlarge,2,156.014
Linux,Event C,xlarge,3,158.568
Linux,Event C,xlarge,4,151.224
Linux,Event C,xlarge,5,195.344
